codigo_bip,descripcion,anio,tipologia,sector,sub_sector,fuente_financiera,rate,monto_solicitado_M,etapa_actual,institucion_financiera,institucion_formuladora,costo_total_M,localidad,tipo_territorial,latitud,longitud,decada,periodo_pladeco
20121045,"MEJORAMIENTO Cº ESMERALDA-LAS PATAGUAS, H-450",1997,PROYECTO,Transporte y Vialidad,TRANSPORTE CAMINERO,Sectorial,RS,25200.0,PERFIL,DIRECCION DE VIALIDAD,VIALIDAD MOP VI REGION LIB.GRAL. BERNARDO O'HIGGIN,25200.0,Las Pataguas,Rural,-34.3905,-70.95144,1990s,Pre-PLADECO
20127064,CONSTRUCCION EXTENSION LO CARTAGENA - LAS ROSAS,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Sectorial,RS,27048.0,PERFIL,DIRECCION DE PLANEAMIENTO,DIRECCION PLANEAMIENTO MOP VI REGION,27048.0,Lo Cartagena,Rural,-34.39026,-70.8737,1990s,Pre-PLADECO
20127081,MEJORAMIENTO SERVICIO DE APR CHANQUEAHUE,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Sectorial,OT,11300.0,EJECUCION,DIRECCION DE PLANEAMIENTO,DIRECCION PLANEAMIENTO MOP VI REGION,11300.0,Chanqueahue,Rural,-34.4335,-70.78779,1990s,Pre-PLADECO
20127083,MEJORAMIENTO SERVICIO DE APR CHOAPINOS,1997,PROYECTO,Recursos Hídricos,AGUA POTABLE,Sectorial,OT,11300.0,EJECUCION,DIRECCION DE PLANEAMIENTO,DIRECCION PLANEAMIENTO MOP VI REGION,11300.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20130552,AMPLIACION ESCUELA LO DE LOBOS SEGUNDA ETAPA RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,1217.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,45997.0,Lo De Lobo,Rural,-34.37523,-70.82941,1990s,Pre-PLADECO
20130554,AMPLIACION ESCUELA HUILQUIO SEGUNDA ETAPA RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,FI,33819.0,PERFIL,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,33819.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20130561,AMPLIACION ESCUELA LO CARTAGENA RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,1994.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,75387.0,Lo Cartagena,Rural,-34.39026,-70.8737,1990s,Pre-PLADECO
20130562,AMPLIACION ESCUELA MARTA AVARIA S. RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,FI,33672.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,33672.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20130563,AMPLIACION COLEGIO VILLA DEL COBIL RENGO,1997,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,FI,17430.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,17430.0,Cobil,Rural,-34.39994,-70.89498,1990s,Pre-PLADECO
20018911,"REPOSICION PARCIAL ESCUELA G-195 LAS TORRES, RENGO",1998,PROYECTO,Educación y Cultura,EDUCACION BASICA Y MEDIA,FNDR,RS,60497.0,EJECUCION,GOBIERNO REGIONAL - REGION VI LIBERT. BERNARDO O.,MUNICIPALIDAD DE RENGO,67991.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20064989,MEJORAMIENTO QUIP. MEDICO E INDUSTRIAL HOSP.RENGO SS. OHIGGINS,1998,PROYECTO,Salud,ALTA COMPLEJIDAD,Sectorial,RS,7160.0,EJECUCION,MINISTERIO DE SALUD,MINISTERIO DE SALUD,285245.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20067277,MEJORAMIENTO RUTA 5 LONGITUDINAL SUR - PASADA POR RENGO,1998,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,*,792000.0,EJECUCION,DIRECCION DE VIALIDAD,DIRECCION DE VIALIDAD,792000.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
20067691,MEJORAMIENTO SISTEMA A.P DE ROSARIO,1998,PROYECTO,Recursos Hídricos,AGUA POTABLE,Empresa,RS,323676.0,EJECUCION,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,EMPRESA SERVICIOS SANITARIOS DEL LIBERTADOR S.A,488831.0,Rosario,Rural,-34.34788,-70.84245,1990s,Pre-PLADECO
20077618,CONSTRUCCION CALZADA CALLE FRANCISCO RUIZ,1998,PROYECTO,Transporte y Vialidad,"TRANSPORTE URBANO,VIALIDAD PEATONAL",Sectorial,RS,34112.0,EJECUCION,SERVICIO VIVIENDA Y URBANIZACION VI REGION,MUNICIPALIDAD DE RENGO,34112.0,Rengo (comunal),Comunal,-34.40518,-70.86324,1990s,Pre-PLADECO
